DBID	Name	Org	Gene	genelen	phenotype	function	intronlen	intronstat	txn_name	txnlen
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00000190	1060
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00000748	1054
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00001429	1207
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00002770	1252
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00002845	1047
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00002879	1163
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00003192	1033
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00003509	1027
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00003660	1151
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta	987	Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size	Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2	365	Active	SC_Transcript_00004079	1228
